html,href,title,author,journal,type,date
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash-ijohnny-cash-at-folsom-prisoni-cbs-63308"">Johnny Cash: <i>Johnny Cash at Folsom Prison</i> (CBS 63308)</a></p>
<p>Review by Geoffrey Cannon, <i>The Guardian</i>, 12 November 1968</p>
<p class=""excerpt"">Author's note, 2018. The quality and impact of Johnny Cash at Folsom Prison is not because of the songs. It is because of the behaviour ...</p>
</div>",/Library/Article/johnny-cash-ijohnny-cash-at-folsom-prisoni-cbs-63308,Johnny Cash at Folsom Prison (CBS 63308),Geoffrey Cannon,The Guardian,Review,12 November 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/jeannie-c-riley-a-wild-jeannie"">Jeannie C. Riley: A Wild Jeannie</a></p>
<p>Interview by Alan Smith, <i>New Musical Express</i>, 30 November 1968</p>
<p class=""excerpt"">PARAGON PUBLICITY use a Rolls and a chauffeur to get me to Jeannie C. Riley (""it belonged to the Beatles,"" says the man proudly, ""but ...</p>
</div>",/Library/Article/jeannie-c-riley-a-wild-jeannie,A Wild Jeannie,Alan Smith,New Musical Express,Interview,30 November 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/harper-valley-characters-come-to-life-via-jeannie-c-riley"">Jeannie C. Riley: 'Harper Valley' Characters Come To Life via Jeannie C. Riley</a></p>
<p>Profile by Lon Goddard, <i>Record Mirror</i>, 7 December 1968</p>
<p class=""excerpt"">VISIONS OF the Mississippi Delta again grace the charts as does a rather lovely face while 21-year-old Texas-born Jeannie C. Riley nips at the top ...</p>
</div>",/Library/Article/harper-valley-characters-come-to-life-via-jeannie-c-riley,'Harper Valley' Characters Come To Life via Jeannie C. Riley,Lon Goddard,Record Mirror,Profile,7 December 1968
"<div class=""article-listing"">
<p><a href=""/Library/Article/chet-atkins-the-day-elvis-split-his-pink-britches"">Chet Atkins: The Day Elvis Split his Pink Britches</a></p>
<p>Interview by Alan Walsh, <i>Melody Maker</i>, 8 March 1969</p>
<p class=""excerpt"">WHEN ELVIS Presley recorded 'Heartbreak Hotel', the record that launched him to adulation level in Great Britain, he really tore the studio apart. ...</p>
</div>",/Library/Article/chet-atkins-the-day-elvis-split-his-pink-britches,The Day Elvis Split his Pink Britches,Alan Walsh,Melody Maker,Interview,8 March 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/george-jones--tammy-wynette-the-playroom-atlanta-waylon-jennings-conway-twitty-city-auditorium-atlanta"">Merle Haggard, Waylon Jennings, George Jones, Conway Twitty, Tammy Wynette: George Jones &amp; Tammy Wynette: The Playroom, Atlanta; Waylon Jennings, Conway Twitty: City Auditorium, Atlanta</a></p>
<p>Live Review by Gene Guerrero, <i>The Great Speckled Bird</i>, 10 March 1969</p>
<p class=""excerpt"">THE LAST two weeks have been good ones for country music in Atlanta. George Jones and Tammy Wynette were at the Playroom; Merle Haggard's latest ...</p>
</div>",/Library/Article/george-jones--tammy-wynette-the-playroom-atlanta-waylon-jennings-conway-twitty-city-auditorium-atlanta,"George Jones & Tammy Wynette: The Playroom, Atlanta; Waylon Jennings, Conway Twitty: City Auditorium, Atlanta",Gene Guerrero,The Great Speckled Bird,Live Review,10 March 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash-aint-nothin-too-weird-for-me"">Carter Family, The, Johnny Cash: Johnny Cash: ""Ain't Nothin' Too Weird For Me""</a></p>
<p>Report and Interview by Michael Lydon, <i>The New York Times</i>, 16 March 1969</p>
<p class=""excerpt""> 
BACKSTAGE AT the Amarillo, Texas, Civic Auditorium, a fresh kid with glasses held out a plastic cup of coffee. ...</p>
</div>",/Library/Article/johnny-cash-aint-nothin-too-weird-for-me,"Johnny Cash: ""Ain't Nothin' Too Weird For Me""",Michael Lydon,The New York Times,Report and Interview,16 March 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/charley-pride-country-pride"">Charley Pride: Country Pride</a></p>
<p>Comment by Gene Guerrero, <i>The Great Speckled Bird</i>, 17 March 1969</p>
<p class=""excerpt"">IT WAS COUNTRY Music Week in Nashville, Tennessee, during the fall of 1966. Several of us from the Southern Student Organizing Committee were in town ...</p>
</div>",/Library/Article/charley-pride-country-pride,Country Pride,Gene Guerrero,The Great Speckled Bird,Comment,17 March 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/ijohnny-cash-the-man-his-world-his-musici-pbl-dir-robert-elfstrom"">Johnny Cash: <i>Johnny Cash! The Man, His World, His Music</i> (PBL; dir. Robert Elfstrom)</a></p>
<p>Film/DVD/TV Review by Miller Francis Jr., Gene Guerrero, <i>The Great Speckled Bird</i>, 24 March 1969</p>
<p class=""excerpt"">TO SAY THAT the 90-minute Johnny Cash PBL special was the best television show I've ever seen is to detract from the compliment; perhaps it ...</p>
</div>",/Library/Article/ijohnny-cash-the-man-his-world-his-musici-pbl-dir-robert-elfstrom,"Johnny Cash! The Man, His World, His Music (PBL; dir. Robert Elfstrom)",Miller Francis Jr.,The Great Speckled Bird,Film/DVD/TV Review,24 March 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash--bob-dylan-mind-blowing-duo"">Johnny Cash, Leonard Cohen, Bob Dylan, Georgie Fame, Simon &amp; Garfunkel: Johnny Cash &amp; Bob Dylan: Mind blowing duo</a></p>
<p>Interview by Richard Green, <i>New Musical Express</i>, 29 March 1969</p>
<p class=""excerpt"">NME's Richard Green talks to their producer, Bob Johnston ...</p>
</div>",/Library/Article/johnny-cash--bob-dylan-mind-blowing-duo,Johnny Cash & Bob Dylan: Mind blowing duo,Richard Green,New Musical Express,Interview,29 March 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-byrds-albert-king-rose-palace-pasadena-ca"">Byrds, The, Albert King: The Byrds, Albert King: Rose Palace, Pasadena CA</a></p>
<p>Live Review by John Mendelssohn, <i>Los Angeles Times</i>, 20 May 1969</p>
<p class=""excerpt"">Byrds in Spotlight at Pasadena Rose Palace ...</p>
</div>",/Library/Article/the-byrds-albert-king-rose-palace-pasadena-ca,"The Byrds, Albert King: Rose Palace, Pasadena CA",John Mendelssohn,Los Angeles Times,Live Review,20 May 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/sun-records-country-meets-rock"">Johnny Cash, Jerry Lee Lewis, Carl Perkins, Elvis Presley: Sun Records: Country Meets Rock</a></p>
<p>Retrospective by Guy Stevens, <i>International Times</i>, 23 May 1969</p>
<p class=""excerpt"">An occasional series which looks into pop music and its antecedents is the latest plot to swell our readership figures, thereby making the fuzz look ...</p>
</div>",/Library/Article/sun-records-country-meets-rock,Sun Records: Country Meets Rock,Guy Stevens,International Times,Retrospective,23 May 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/ithe-johnny-cash-showi-abc-tvscreen-gems"">Johnny Cash, Bob Dylan, Doug Kershaw, Joni Mitchell: <i>The Johnny Cash Show</i> (ABC TV/Screen Gems)</a></p>
<p>Film/DVD/TV Review by Gene Guerrero, <i>The Great Speckled Bird</i>, 12 June 1969</p>
<p class=""excerpt"">TV CASHES IN ...</p>
</div>",/Library/Article/ithe-johnny-cash-showi-abc-tvscreen-gems,The Johnny Cash Show (ABC TV/Screen Gems),Gene Guerrero,The Great Speckled Bird,Film/DVD/TV Review,12 June 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/bobbie-gentry-explains-the-trouser-suit-scene"">Bobbie Gentry Explains The Trouser Suit Scene</a></p>
<p>Interview by David Griffiths, <i>Record Mirror</i>, 5 July 1969</p>
<p class=""excerpt"">BOBBIE GENTRY has written so many songs she's lost count. Maybe around two hundred. Since she's constantly travelling to various countries (as well as moving ...</p>
</div>",/Library/Article/bobbie-gentry-explains-the-trouser-suit-scene,Bobbie Gentry Explains The Trouser Suit Scene,David Griffiths,Record Mirror,Interview,5 July 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-everly-brothers-irootsi-warner-brothers-reprise-1752"">Everly Brothers, The: The Everly Brothers: <i>Roots</i> (Warner Brothers-Reprise 1752)</a></p>
<p>Review by Miller Francis Jr., Gene Guerrero, <i>The Great Speckled Bird</i>, 7 July 1969</p>
<p class=""excerpt"">""Roll along, along Jordan,Roll me on my way. Roll along, along Jordan,Roll me home today. "" ...</p>
</div>",/Library/Article/the-everly-brothers-irootsi-warner-brothers-reprise-1752,The Everly Brothers: Roots (Warner Brothers-Reprise 1752),Miller Francis Jr.,The Great Speckled Bird,Review,7 July 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash-iat-san-quentini-cbs-mono-and-stereo-63629-37s-6d-"">Johnny Cash: <i>At San Quentin</i> (CBS mono and stereo 63629; 37s. 6d )</a></p>
<p>Review by Richard Green, <i>New Musical Express</i>, August 1969</p>
<p class=""excerpt"">CASH RECORDS SMASH IN JAIL ...</p>
</div>",/Library/Article/johnny-cash-iat-san-quentini-cbs-mono-and-stereo-63629-37s-6d-,At San Quentin (CBS mono and stereo 63629; 37s. 6d ),Richard Green,New Musical Express,Review,August 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/linda-ronstadt-bitter-end-new-york-ny"">Linda Ronstadt: Bitter End, New York NY</a></p>
<p>Live Review by Danny Goldberg, <i>Billboard</i>, 9 August 1969</p>
<p class=""excerpt"">Bitter End Entranced By Linda Ronstadt ...</p>
</div>",/Library/Article/linda-ronstadt-bitter-end-new-york-ny,"Bitter End, New York NY",Danny Goldberg,Billboard,Live Review,9 August 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/conway-twitty-idarling-you-know-i-wouldnt-liei-mca-mono-and-stereo-mup-386-37s-6d"">Conway Twitty: <i>Darling, You Know I Wouldn't Lie</i> (MCA mono and stereo MUP 386; 37s 6d.)</a></p>
<p>Review by Richard Green, <i>New Musical Express</i>, 23 August 1969</p>
<p class=""excerpt"">COUNTRY TWITTY ...</p>
</div>",/Library/Article/conway-twitty-idarling-you-know-i-wouldnt-liei-mca-mono-and-stereo-mup-386-37s-6d,"Darling, You Know I Wouldn't Lie (MCA mono and stereo MUP 386; 37s 6d.)",Richard Green,New Musical Express,Review,23 August 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/burritos-and-byrds-a-talk-with-gram-parsons-and-chris-hillman"">Flying Burrito Brothers, Byrds, The: Burritos and Byrds: A talk with Gram Parsons and Chris Hillman</a></p>
<p>Interview by uncredited writer, <i>Helix</i>, 4 September 1969</p>
<p class=""excerpt"">THE FLYING Burrito Brothers, in their own bittersweet honkytonk way, have become the subject of much foolish controversy. Hailed by numerous critics, fans, and even ...</p>
</div>",/Library/Article/burritos-and-byrds-a-talk-with-gram-parsons-and-chris-hillman,Burritos and Byrds: A talk with Gram Parsons and Chris Hillman,uncredited writer,Helix,Interview,4 September 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/albert-king-poco-the-chambers-brothers-the-pavilion-flushing-meadows-queens-ny"">Poco, Albert King, Chambers Brothers, The: Albert King, Poco, the Chambers Brothers: The Pavilion, Flushing Meadows, Queens NY</a></p>
<p>Live Review by Danny Goldberg, <i>Billboard</i>, 6 September 1969</p>
<p class=""excerpt"">King of the Blues Courts Fans ...</p>
</div>",/Library/Article/albert-king-poco-the-chambers-brothers-the-pavilion-flushing-meadows-queens-ny,"Albert King, Poco, the Chambers Brothers: The Pavilion, Flushing Meadows, Queens NY",Danny Goldberg,Billboard,Live Review,6 September 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/doors-isoft-paradei-leads-us-underground-lp-releases"">Doors, The, Fugs, The, Groundhogs, The, Lightnin' Hopkins, Gordon Lightfoot, Loretta Lynn, Gene Pitney, Sir Douglas Quintet, Stooges, The, Elmer Gantry's Velvet Opera, Junior's Eyes, Floating Bridge, High Tide: Doors' <i>Soft Parade</i> leads US underground LP releases</a></p>
<p>Review by uncredited writer, <i>Record Mirror</i>, 13 September 1969</p>
<p class=""excerpt"">THE DOORS: The Soft Parade — 'Tell All The People'; 'Touch Me'; 'Shaman's Blues'; 'Do It'; 'Easy Ride'; 'Wild Child'; 'Runnin' Blue'; 'Wishful Sinful'; 'The ...</p>
</div>",/Library/Article/doors-isoft-paradei-leads-us-underground-lp-releases,Doors' Soft Parade leads US underground LP releases,uncredited writer,Record Mirror,Review,13 September 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/doc-watson-paul-geremia-david-bromberg-gaslight-caf-new-york-ny"">David Bromberg, Doc Watson, Paul Geremia: Doc Watson, Paul Geremia, David Bromberg: Gaslight Café, New York NY</a></p>
<p>Live Review by Danny Goldberg, <i>Billboard</i>, 27 September 1969</p>
<p class=""excerpt"">'Watsonia' Dazzles in 'Village' ...</p>
</div>",/Library/Article/doc-watson-paul-geremia-david-bromberg-gaslight-caf-new-york-ny,"Doc Watson, Paul Geremia, David Bromberg: Gaslight Café, New York NY",Danny Goldberg,Billboard,Live Review,27 September 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/jerry-lee-lewis-isings-the-country-music-hall-of-fame-hitsi-vol-1-and-2-mercury"">Jerry Lee Lewis: <i>Sings The Country Music Hall Of Fame Hits</i> Vol. 1 and 2 (Mercury)</a></p>
<p>Review by Richard Green, <i>New Musical Express</i>, 11 October 1969</p>
<p class=""excerpt"">Jerry Lee's good examples ...</p>
</div>",/Library/Article/jerry-lee-lewis-isings-the-country-music-hall-of-fame-hitsi-vol-1-and-2-mercury,Sings The Country Music Hall Of Fame Hits Vol. 1 and 2 (Mercury),Richard Green,New Musical Express,Review,11 October 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/john-d-loudermilk"">John D. Loudermilk</a></p>
<p>Interview by Gene Guerrero, <i>The Great Speckled Bird</i>, 20 October 1969</p>
<p class=""excerpt"">The brother runs the camera, and the sister gives the cues/The uncle is the producer, and the old man writes the news/This family named JonesThat ...</p>
</div>",/Library/Article/john-d-loudermilk,John D. Loudermilk,Gene Guerrero,The Great Speckled Bird,Interview,20 October 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-byrds-thelmas-los-angeles-ca"">Byrds, The: The Byrds: Thelma's, Los Angeles CA</a></p>
<p>Live Review by John Mendelssohn, <i>Los Angeles Times</i>, 25 November 1969</p>
<p class=""excerpt"">Byrds of a Different Feather Open at Club ...</p>
</div>",/Library/Article/the-byrds-thelmas-los-angeles-ca,"The Byrds: Thelma's, Los Angeles CA",John Mendelssohn,Los Angeles Times,Live Review,25 November 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/area-code-615-now--funky-country"">Area Code 615: Now — Funky Country!</a></p>
<p>Profile and Interview by Richard Williams, <i>Melody Maker</i>, 29 November 1969</p>
<p class=""excerpt"">That's the sound on Area Code 615, a new album by Nashville musicians who have backed Dylan. It could be as significant as Music From ...</p>
</div>",/Library/Article/area-code-615-now--funky-country,Now — Funky Country!,Richard Williams,Melody Maker,Profile and Interview,29 November 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/codys-airmen-on-the-way-up"">Commander Cody: Cody's Airmen On the Way Up</a></p>
<p>Profile and Interview by Philip Elwood, <i>The San Francisco Examiner</i>, 15 December 1969</p>
<p class=""excerpt"">THE NATIONAL pop music compass needle has been pointing toward Nashville for over a year and now it is digging into the past of country-and-western ...</p>
</div>",/Library/Article/codys-airmen-on-the-way-up,Cody's Airmen On the Way Up,Philip Elwood,The San Francisco Examiner,Profile and Interview,15 December 1969
"<div class=""article-listing"">
<p><a href=""/Library/Article/sons-of-champlin-country-joe--the-fish-area-code-615-fillmore-west-san-francisco-ca"">Area Code 615, Country Joe &amp; The Fish, Sons of Champlin, The: Sons of Champlin, Country Joe &amp; the Fish, Area Code 615: Fillmore West, San Francisco CA</a></p>
<p>Live Review by Philip Elwood, <i>The San Francisco Examiner</i>, 13 February 1970</p>
<p class=""excerpt"">Strong Debut by Nashville 9 ...</p>
</div>",/Library/Article/sons-of-champlin-country-joe--the-fish-area-code-615-fillmore-west-san-francisco-ca,"Sons of Champlin, Country Joe & the Fish, Area Code 615: Fillmore West, San Francisco CA",Philip Elwood,The San Francisco Examiner,Live Review,13 February 1970
